State,Organization,Goal,Date Initiated,Ongoing?,Sources,Additional Information,Fundraiser?
Massachusetts,Black and Pink Boston and #DeeperThanWater,Fundraiser for soap and other hygiene products for people incarcerated inside Massachusetts jails and prisons,3/17/2020,Yes,https://twitter.com/BlackAndPinkBos/status/1240056341969936386?s=20,https://www.gofundme.com/f/mutual-aid-for-ma-prisoners-during-covid19,Yes
Massachusetts and Rhode Island,FANG Collective,Fundraising effort to establish the FANG Community Bail Fund to free people who are being held on bail in local jails in Massachusetts and Rhode Island.,4/15/2020,Yes,https://www.gofundme.com/f/fangbailfund,http://thefangcollective.org/,Yes
National,IWOC (Incarcerated Workers Organizing Committee) Baltimore,"Effort to establish a free national hotline for incarcerated and detained people to call when they have Coronavirus symptoms, when there’s an outbreak in their unit, or when they are being denied adequate medical care for Coronavirus.",3/13/2020,Yes,https://www.gofundme.com/f/covid19-prison-hotline,,Yes
National,Community Justice Exchange,Seeking donations for their COVID-19 Emergency Response Fund. Contributions will be distributed across the 60+ community bail and bond funds of the National Bail Fund Network who are posting bail and bond for individuals in immigration detention and local and county jails. All funds are distributed as quickly as they can be used to free individuals in jails and immigration detention centers.,2020,Yes,https://secure.actblue.com/donate/bailfundscovid,https://www.communityjusticeexchange.org/nbfn-directory,Yes
National,SWOP Behind Bars (Sex Workers Outreach Project),Raising funds for the National Sex Worker Bond Fund,,Yes,https://www.swopbehindbars.org/national-sex-worker-bond-fund/,,Yes
National,SWOP Behind Bars (Sex Workers Outreach Project); Woodhull Freedom Foundation,Raising funds for their Sex Worker Support Fund to support a 24-hour hotline for sex workers in crisis and Help sex workers who are incarcerated or newly released from prison,4/4/2020,Yes,https://www.swopbehindbars.org/2020/04/04/woodhull-and-swop-behind-bars-sex-worker-support-fund/,,Yes
National,ACLU,"Seeking donations for their COVID-19 Pandemic Response. Contributions will fund the ACLU's work to protect voting rights, to demand that vulnerable people in prisons, jails and immigration detention centers be released, and to ensure reproductive health care remains open and accessible.",2020,Yes,https://www.aclu.org/news/topic/covid-19-pandemic-response/,,Yes
New York,Survived and Punished - New York,Soap drive for people incarcerated at Bedford and Taconic,3/11/2020,No,https://twitter.com/colinasher/status/1237844540716765190?s=20,"The fundraiser raised $6,000; its original goal was $900",Yes
New York,Parole Preparation Project,"Collecting funds for: Commissary funds for people in prison so they can purchase soap, canned goods and other essentials; packages to incarcerated people filled with necessary items; phone calls and electronic messages and welcome home funds for people returning from prison at the height of the pandemic.",3/28/20,Yes,paroleprepny.org/covid,,Yes
New York,The Financial Solidarity for Formerly Incarcerated People and Their Families Mutual Aid Project,Fundraising to create an application system where formerly incarcerated people can request a $250 stipend to be granted on a first-come-first-serve basis,3/20/20,Yes,https://www.gofundme.com/f/financial-solidarity-mutual-aid?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,,Yes
New York,"COVID Bail Out NYC, Emergency Release Fund, & Black Alliance for Just Immigration","This coalition is an all volunteer, emergency grassroots initiative formed to get people out of NYC jails. Donations can be designated for their Bail Out and Post-Release Support fund, or to go exclusively to their Bail Out fund. ",2020,Yes,https://www.covidbailout.org/,,Yes
New York,Brooklyn Community Bail Fund,Seeking donations for Emergency Bond Outs for people in ICE detention,2020,Yes,https://brooklynbailfund.org/donate,,Yes
New York/New Jersey,The Queer Detainee Empowerment Project (QDEP),"Fundraising to donate to comissary funds of currently incarcerated members of their network and provide metrocards, phone service, clothing, shoes and toiletries to members who are now being released",3/30/20,Yes,https://www.givegab.com/campaigns/help-qdep/,,Yes
Pennsylvania,Philadelphia Community Bail Fund; Philadelphia Bail Fund,Fundraising for the COVID-19 Emergency Bail Out Fund,3/16/20,Yes,https://www.phillybailout.com/,,Yes
U.S./Mexico Border,Al Otro Lado,"To raise emergency funds for migrant families that are affected by border closures, asylum seekers, deportees, and folks in refugee camps.",3/30/20,Yes,https://alotrolado.networkforgood.com/projects/96006-covid-19-migrant-humanitarian-fund,,Yes
